时间,LD1电流(A),LD1电压(V),LD2电流(A),LD2电压(V),PD温度(℃),PD功率(W),TEC1温度(℃),TEC1电流(A),TEC1功率(W),TEC2温度(℃),TEC2电流(A),TEC2功率(W),TEC3温度(℃),TEC3电流(A),TEC3功率(W),TEC4温度(℃),TEC4电流(A),TEC4功率(W),
2025年12月18日 22:53:30.063,0.3,0.8,0.4,1.0,2228.0,1943.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:53:31.061,0.3,0.7,0.3,0.9,2201.0,2117.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:53:32.062,0.3,0.8,0.3,0.8,2230.0,2102.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:53:33.061,0.3,0.7,0.3,0.8,2225.0,2041.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:53:34.062,0.3,0.8,0.3,0.8,2156.0,2147.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:53:49.062,0.3,0.7,0.3,0.8,2134.0,2031.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:53:50.062,0.3,0.7,0.3,0.8,2179.0,2044.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:53:51.062,0.3,0.8,0.3,0.7,2138.0,2022.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:53:53.063,0.3,0.7,0.3,0.8,2244.0,2060.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:53:54.063,0.3,0.7,0.3,0.7,2201.0,2019.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:53:57.062,0.3,0.6,0.3,0.7,2270.0,1991.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:53:58.064,0.3,0.7,0.3,0.8,2182.0,2018.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:56:43.976,0.3,0.6,0.3,0.7,2081.0,1936.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:56:44.977,0.3,0.6,0.3,0.6,2070.0,1901.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:56:45.977,0.3,0.6,0.3,0.6,2076.0,1951.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:56:46.976,0.3,0.7,0.3,0.7,2058.0,1924.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:56:47.976,0.3,0.6,0.3,0.7,2084.0,1984.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
